Loop,Other_ScanCount,Partition_CustomerData_SpaceUsedInBytes,Partition_Extensibility_SpaceUsedInBytes,JediMem_PdlPersonality_HighWater,JediMem_Extensibility_BytesAvailable,JediMem_Extensibility_BytesConsumed,JediMem_Extensibility_HighWater,JediMem_JavaScriptAligned_BytesAvailable,JediMem_JavaScriptAligned_BytesConsumed,JediMem_JavaScriptAligned_HighWater,JediMem_OpenSourceLib_BytesAvailable,JediMem_OpenSourceLib_BytesConsumed,JediMem_OpenSourceLib_HighWater,JediMem_WebkitSmall_BytesAvailable,JediMem_WebkitSmall_BytesConsumed,JediMem_WebkitSmall_HighWater,JediMem_WebkitLarge_BytesAvailable,JediMem_WebkitLarge_BytesConsumed,JediMem_WebkitLarge_HighWater,JediMem_NonJediManaged_BytesConsumed,JediMem_NonJediManaged_HighWater,Other_BootCycleCounter,UI_Total_Memory_Statistics_Limit,UI_Total_Memory_Statistics_Consumed,UI_Total_Memory_Statistics_High_Water,Web_Process_Memory_Statistics_Limit,Web_Process_Memory_Statistics_Consumed,Web_Process_Memory_Statistics_High_Water,Browser_Process_Memory_Mappings_sizeTotal,Browser_Process_Memory_Mappings_privateTotal,Browser_Process_Memory_Mappings_sharedTotal,Browser_Process_Memory_Mappings_anonymousTotal,Web_Process_Memory_Mappings_sizeTotal,Web_Process_Memory_Mappings_privateTotal,Web_Process_Memory_Mappings_sharedTotal,Web_Process_Memory_Mappings_anonymousTotal,Network_Process_Memory_Mappings_sizeTotal,Network_Process_Memory_Mappings_privateTotal,Network_Process_Memory_Mappings_sharedTotal,Network_Process_Memory_Mappings_anonymousTotal
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,628778044,636044348,158,352321536,125911040,135008256,274726912,82452480,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,629314620,636044348,158,352321536,126464000,135008256,274726912,82948096,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,630105148,636044348,158,352321536,127344640,135008256,274726912,83755008,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,630412348,636044348,158,352321536,127635456,135008256,274726912,83996672,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,631030844,636044348,158,352321536,127606784,135008256,274726912,84049920,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,632374332,636044348,158,352321536,128946176,135008256,274726912,85336064,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,632554556,636044348,158,352321536,129236992,135008256,274726912,85544960,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,632857660,636044348,158,352321536,129658880,135008256,274726912,85905408,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,633570364,636044348,158,352321536,130301952,135008256,274726912,86482944,93138944,0,0,0,0,0,0,0,0,0,0,0,0
"SingIn/SingOut",12,25713,7146,4255104,9437184,0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,633877564,636044348,158,352321536,130641920,135008256,274726912,86781952,93138944,0,0,0,0,0,0,0,0,0,0,0,0
